OBJECTID,NUMERO_ORDINE,TECNICO,DATA_PRELIVEO,SPECIE,LATITUDINE,LONGITUDINE,CULTIVAR,RISULTATO,COMUNE
"12,633",520,ARG CGN,11/21/2013 00:00:00,OLIVO,40.53527778,17.94416667,****,NEGATIVO,BRINDISI
"12,634",522,ARG CGN,11/21/2013 00:00:00,OLIVO,40.50638889,17.96500000,****,NEGATIVO,SAN PIETRO VERNOTICO
"12,635",523,ARG CGN,11/21/2013 00:00:00,OLEANDRO,40.50638889,17.96500000,****,NEGATIVO,SAN PIETRO VERNOTICO
"12,637",525,ARG CGN,11/21/2013 00:00:00,OLIVO,40.50722222,17.99111111,****,NEGATIVO,SAN PIETRO VERNOTICO
"12,638",526,ARG CGN,11/21/2013 00:00:00,OLIVO,40.52833333,17.98333333,****,NEGATIVO,SAN PIETRO VERNOTICO
"12,639",527,ARG CGN,11/21/2013 00:00:00,OLIVO,40.55388889,17.97444444,****,NEGATIVO,BRINDISI
"12,640",528,ARG CGN,11/21/2013 00:00:00,OLIVO,40.57416667,17.96722222,****,NEGATIVO,BRINDISI
"12,641",529,ARG CGN,11/21/2013 00:00:00,SORGHETTO,40.57416667,17.96722222,****,NEGATIVO,BRINDISI
"12,642",530,ARG CGN,11/21/2013 00:00:00,OLIVO,40.59083333,17.94416667,****,NEGATIVO,BRINDISI
"12,643",531,MZZ MLE,11/21/2013 00:00:00,MALVA,40.29833333,17.84666667,****,NEGATIVO,PORTO CESAREO
"12,644",532,MZZ MLE,11/21/2013 00:00:00,OLIVO,40.29833333,17.84666667,****,NEGATIVO,PORTO CESAREO
"12,646",534,MZZ MLE,11/21/2013 00:00:00,OLEANDRO,40.30472222,17.81972222,****,NEGATIVO,PORTO CESAREO
"12,647",535,MZZ MLE,11/21/2013 00:00:00,MALVA,40.30472222,17.81972222,****,NEGATIVO,PORTO CESAREO
"12,648",536,MZZ MLE,11/21/2013 00:00:00,OLIVO,40.30472222,17.81972222,****,NEGATIVO,PORTO CESAREO
"12,649",537,MZZ MLE,11/21/2013 00:00:00,OLEANDRO,40.29888889,17.81888889,****,NEGATIVO,PORTO CESAREO
"12,650",538,MZZ MLE,11/21/2013 00:00:00,MALVA,40.29888889,17.81888889,****,NEGATIVO,PORTO CESAREO
"12,651",539,MZZ MLE,11/21/2013 00:00:00,OLIVO,40.29888889,17.81888889,****,NEGATIVO,PORTO CESAREO
"12,652",540,MZZ MLE,11/21/2013 00:00:00,MALVA,40.31000000,17.79611111,****,NEGATIVO,PORTO CESAREO
"12,654",542,MZZ MLE,11/21/2013 00:00:00,MALVA,40.31194444,17.77472222,****,NEGATIVO,AVETRANA
"12,655",543,MZZ MLE,11/21/2013 00:00:00,OLIVO,40.31194444,17.77472222,****,NEGATIVO,AVETRANA
